Job_title,Job_link,Company,Location,Expiration_date
Consultant(e) national(e) pour la promotion des Mutuelles de Solidarité (MUSO) au sein des communautés affectées par les conflits dans le territoire de Kungu,http://www.mediacongo.net/emploi-societe-18427.html,PNUD,Sud-Kivu,15.06.2016
Chargé(e) de la Logistique et de l’Administration,http://www.mediacongo.net/emploi-societe-18426.html,CONAFED,Kinshasa,15.06.2016
Coordinateur (trice) Terrain Drive,http://www.mediacongo.net/emploi-societe-18425.html,CRS,Lubumbashi et Kalemie,15.06.2016
Consultant(e) national(e) pour l’évaluation finale du Projet RSE/Walungu,http://www.mediacongo.net/emploi-societe-18424.html,PNUD,"Sud-Kivu, Kinshasa",15.06.2016
"Support Technique, Programmeur et Administrateur de MySQL",http://www.mediacongo.net/emploi-societe-18423.html,Centre Médical Diamant,Kinshasa,15.06.2016
Secrétaire-Caissier,http://www.mediacongo.net/emploi-societe-18250.html,EUP/FASS/K.OR,Kasaï-Oriental,16.05.2016
Chauffeur Principal,http://www.mediacongo.net/emploi-societe-18442.html,UNFPA,Kinshasa,16.06.2016
Gestionnaire de base de données CYPD,http://www.mediacongo.net/emploi-societe-18438.html,IRC,Kinshasa,16.06.2016
Conseiller en Planification Familiale & Santé de la Reproduction,http://www.mediacongo.net/emploi-societe-18436.html,Pathfinder,Kinshasa,16.06.2016
Conseiller en Communication Sociale & Changement de Comportement,http://www.mediacongo.net/emploi-societe-18435.html,Pathfinder,Provinces,16.06.2016
Senior Technical Advisor,http://www.mediacongo.net/emploi-societe-18434.html,ICAP,Kinshasa,16.06.2016
"End of Project Evaluation, Consultancy",http://www.mediacongo.net/emploi-societe-18433.html,ActionAid,Nord-Kivu,16.06.2016
Health Manager,http://www.mediacongo.net/emploi-societe-18432.html,IRC,Kalemie,16.06.2016
Organizational and Financial Management Capacity,http://www.mediacongo.net/emploi-societe-18431.html,ICGLR,Kinshasa,16.06.2016
Coordinateur/trice Finance,http://www.mediacongo.net/emploi-societe-18450.html,NCA,Bukavu,17.06.2016
Spécialistes Techniques,http://www.mediacongo.net/emploi-societe-18449.html,Cambridge Education,Kinshasa,17.06.2016
Assistant en Pharmacie,http://www.mediacongo.net/emploi-societe-18448.html,ASF/PSI,Kinshasa,17.06.2016
Assistants pour la gestion des Test de Diagnostic Rapide (TDR),http://www.mediacongo.net/emploi-societe-18447.html,ASF/PSI,Kinshasa,17.06.2016
Consultant Etude Ethnographique d'Immersion,http://www.mediacongo.net/emploi-societe-18446.html,ASF/PSI,Kinshasa,17.06.2016
"Coordonnateur de la Franchise Sociale ""Confiance""",http://www.mediacongo.net/emploi-societe-18445.html,ASF/PSI,Kinshasa,17.06.2016
Coordonnateur Senior de la Conformité RH,http://www.mediacongo.net/emploi-societe-18444.html,ASF/PSI,Kinshasa,17.06.2016
Journalistes Reporters,http://www.mediacongo.net/emploi-societe-18443.html,ASF/PSI,Kinshasa,17.06.2016
Auditeur Interne,http://www.mediacongo.net/emploi-societe-18276.html,i-Finance,Kinshasa,19.05.2016
Auditeur Interne,http://www.mediacongo.net/emploi-societe-18276.html,i-Finance,Kinshasa,19.05.2016
Administrateur Gestionnaire,http://www.mediacongo.net/emploi-societe-18293.html,Caritas Kabinda,Kabinda,20.05.2016
Comptable,http://www.mediacongo.net/emploi-societe-18292.html,Caritas Kabinda,Kabinda,20.05.2016
Administrateur Gestionnaire,http://www.mediacongo.net/emploi-societe-18293.html,Caritas Kabinda,Kabinda,20.05.2016
Comptable,http://www.mediacongo.net/emploi-societe-18292.html,Caritas Kabinda,Kabinda,20.05.2016
Logisticien,http://www.mediacongo.net/emploi-societe-18463.html,CTB,Kinshasa,20.06.2016
Consultants Internationaux et Consultants Nationaux pour la constitution d’un Panel d’Experts pour le Fonds National REDD+ de la RDC,http://www.mediacongo.net/emploi-societe-18461.html,PNUD,Kinshasa,20.06.2016
"Spécialiste en parentalité positive et programme ""La Maison Fidèle""",http://www.mediacongo.net/emploi-societe-18460.html,CRS,Lubumbashi,20.06.2016
Spécialiste du renforcement économique des ménages,http://www.mediacongo.net/emploi-societe-18459.html,CRS,Lubumbashi,20.06.2016
Conseiller technique du renforcement économique des ménages,http://www.mediacongo.net/emploi-societe-18458.html,CRS,Lubumbashi,20.06.2016
Officier de Cash Transfert pour le renforcement économique des ménages,http://www.mediacongo.net/emploi-societe-18457.html,CRS,Lubumbashi,20.06.2016
"Consultant Enquête Endline SMI ZS Ndjili, Selembao, Bumbu et Nsele",http://www.mediacongo.net/emploi-societe-18456.html,Handicap International,Kinshasa,20.06.2016
All Interested Candidates/All Sources,http://www.mediacongo.net/emploi-societe-18472.html,American Embassy,Kinshasa,21.06.2016
Responsable Technique de la Centrale Hydroélectrique,http://www.mediacongo.net/emploi-societe-18470.html,Virunga Sarl,Matebe,21.06.2016
Law Enforcement Technical Advisor,http://www.mediacongo.net/emploi-societe-18469.html,WWF,Monkoto,21.06.2016
Senior Program Manager (SPM),http://www.mediacongo.net/emploi-societe-18467.html,UMCOR,Lubumbashi,21.06.2016
Consultant spécialiste des enquêtes auprès des ménages en RDC,http://www.mediacongo.net/emploi-societe-18466.html,PRINS,Kinshasa,21.06.2016
Directeur-Expert en recherche,http://www.mediacongo.net/emploi-societe-18475.html,RIPSEC,Kinshasa,22.06.2016
Gestionnaire des Fonds des Activités Spéciales (SAF),http://www.mediacongo.net/emploi-societe-18485.html,Chemonics,Kinshasa ou Lubumbashi,23.06.2016
Ingénieurs,http://www.mediacongo.net/emploi-societe-18484.html,StarTimes,Kinshasa,23.06.2016
Assistant(e) aux Ressources Humaines,http://www.mediacongo.net/emploi-societe-18483.html,Chemonics,Kananga et Mbuji-Mayi,23.06.2016
